route_id,deployment,http_method,path,surface,controller_method,source,current_guard,current_target_predicate,canonical_action,target_accepted_principal_lanes,target_resolver,risk_tier,migration_mode,disposition,review_status,notes,required_sections
mvc:post:/api/v1/business-agent/functions/import,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/functions/import,CLIENT_APP_CONTROL,BusinessFunctionRegistryController.importManifest,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessFunctionRegistryController.java:24,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess),business-function.import-manifest,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_BUSINESS_FUNCTION_OWNER_GRANT_RESOLVER[LIST_OR_BODY_TARGET],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/skill-bundles/clear-account,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/skill-bundles/clear-account,CLIENT_APP_CONTROL,SkillRegistryController.clearAccountSkillBundles,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/SkillRegistryController.java:103,Spring permitAll + X-Client-App-Control-Key validation + skill-bundle scope,exact tenant+ClientApp from control credential + skill-bundle scope checks (ClientAppControlCredentialService|bindClientAppForControlCredential|controlCredentialService|requireAccess|required),skill-registry.clear-account-skill-bundles,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_ACCOUNT_SKILL_BUNDLE_SCOPE_RESOLVER[credential-clientApp|body-upstreamUser],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,method-level ClientApp-control surface; runtime credential is never accepted,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/skill-bundles/clear-public,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/skill-bundles/clear-public,CLIENT_APP_CONTROL,SkillRegistryController.clearPublicSkillBundles,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/SkillRegistryController.java:89,Spring permitAll + X-Client-App-Control-Key validation + skill-bundle scope,exact tenant+ClientApp from control credential + skill-bundle scope checks (ClientAppControlCredentialService|bindClientAppForControlCredential|controlCredentialService|requireAccess|required),skill-registry.clear-public-skill-bundles,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_PUBLIC_SKILL_BUNDLE_SCOPE_RESOLVER[credential-clientApp|body-scope],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,method-level ClientApp-control surface; runtime credential is never accepted,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/skill-bundles/sync,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/skill-bundles/sync,CLIENT_APP_CONTROL,SkillRegistryController.syncSkillBundle,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/SkillRegistryController.java:68,Spring permitAll + X-Client-App-Control-Key validation + skill-bundle scope,exact tenant+ClientApp from control credential + skill-bundle scope checks (ClientAppControlCredentialService|controlCredentialService|requireAccess|required|setScope),skill-registry.sync-skill-bundle,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_SKILL_BUNDLE_SCOPE_RESOLVER[credential-clientApp|body-bundle],R2_SENSITIVE_READ_OR_MUTATION_OR_EXECUTION,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,method-level ClientApp-control surface; runtime credential is never accepted,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/business-agent/suspensions/{suspendId}/resume,NAVIGATOR_LAUNCHER,POST,/api/v1/business-agent/suspensions/{suspendId}/resume,CLIENT_APP_CONTROL,BusinessFunctionApprovalController.resumeSuspension,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/BusinessFunctionApprovalController.java:24,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (ClientAppControlCredentialService|controlCredentialService|requireAccess),business-function.approval.resume-suspension,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/SECURITY_ACTION; SAAS_PLATFORM/SECURITY_ACTION within exact upstream/tenant grant,EXACT_CLIENT_APP_BUSINESS_FUNCTION_APPROVAL_OWNER_GRANT_RESOLVER[suspendId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:get:/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings,NAVIGATOR_LAUNCHER,GET,/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings,CLIENT_APP_CONTROL,AgentModelBindingController.list,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentModelBindingController.java:23,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.model-binding.list,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_MODEL_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R1_SCOPED_READ,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings,NAVIGATOR_LAUNCHER,POST,/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings,CLIENT_APP_CONTROL,AgentModelBindingController.bind,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentModelBindingController.java:31,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.model-binding.bind,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_MODEL_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings/default,NAVIGATOR_LAUNCHER,PUT,/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings/default,CLIENT_APP_CONTROL,AgentModelBindingController.setDefault,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentModelBindingController.java:40,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.model-binding.set-default,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_MODEL_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:delete:/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings/{modelConfigId},NAVIGATOR_LAUNCHER,DELETE,/api/v1/client-apps/{clientAppId}/agents/{agentId}/model-bindings/{modelConfigId},CLIENT_APP_CONTROL,AgentModelBindingController.unbind,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentModelBindingController.java:49,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.model-binding.unbind,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_MODEL_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId|modelConfigId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:get:/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings,NAVIGATOR_LAUNCHER,GET,/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings,CLIENT_APP_CONTROL,AgentWorkerBindingController.list,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentWorkerBindingController.java:23,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.worker-binding.list,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_WORKER_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R1_SCOPED_READ,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:post:/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings,NAVIGATOR_LAUNCHER,POST,/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings,CLIENT_APP_CONTROL,AgentWorkerBindingController.bind,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentWorkerBindingController.java:31,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.worker-binding.bind,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_WORKER_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:put:/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings/default,NAVIGATOR_LAUNCHER,PUT,/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings/default,CLIENT_APP_CONTROL,AgentWorkerBindingController.setDefault,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentWorkerBindingController.java:40,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.worker-binding.set-default,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_WORKER_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:delete:/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings/{workerPoolId},NAVIGATOR_LAUNCHER,DELETE,/api/v1/client-apps/{clientAppId}/agents/{agentId}/worker-bindings/{workerPoolId},CLIENT_APP_CONTROL,AgentWorkerBindingController.unbind,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentWorkerBindingController.java:49,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.worker-binding.unbind,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_WORKER_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId|workerPoolId],R3_SECURITY_BOUNDARY_OR_DESTRUCTIVE,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED_HIGH_RISK,Biz Worker Pool only; forbidden as a Codex Physical Worker routing repair; runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
mvc:get:/api/v1/client-apps/{clientAppId}/agents/{agentId}/workspace-bindings,NAVIGATOR_LAUNCHER,GET,/api/v1/client-apps/{clientAppId}/agents/{agentId}/workspace-bindings,CLIENT_APP_CONTROL,AgentWorkspaceBindingController.list,business-agent-module/src/main/java/com/foggy/navigator/business/agent/controller/AgentWorkspaceBindingController.java:23,Spring permitAll + X-Client-App-Control-Key validation + exact scope check,exact tenant+ClientApp from control credential + resource owner/grant checks (requireAccess),agent.workspace-binding.list,CLIENT_APP/CONTROL (exact tenant+ClientApp); INSTANCE_ROOT/CONTROL_ACCESS; SAAS_PLATFORM/CONTROL_ACCESS(SAAS_PROVISIONING) within exact upstream/tenant grant,EXACT_CLIENT_APP_AGENT_WORKSPACE_BINDING_OWNER_GRANT_RESOLVER[clientAppId|agentId],R1_SCOPED_READ,LEGACY_ENFORCE,KEEP,STATIC_REVIEWED,runtime credential is never accepted on this control surface,PRINCIPAL|CREDENTIAL|TRUST|TARGET|AUTHORITY|PLATFORM_GRANT|TENANT_AUTHORITY
